case_id,method,mode,edema_dice,wt_dice,tc_dice,et_dice,mean_fg_dice,abs_edema_volume_error,edema_fp,edema_fn,enhancing_volume_change,necrosis_volume_change,wt_volume_change,n_edited_voxels,mean_abs_gate,perturbation_rms,cosine_d_learned_d_initial,scale,runtime_s,tuned_alpha_probe,tuned_alpha_output,tuned_logit_bias
BraTS2021_00539,A_baseline,baseline,0.8698721363879396,0.9045631982770546,0.9157823129252274,0.7886590877964818,0.8581045123698829,1442,256,1698,0.0,0.0,0.0,0,0.0,0.0,0.9990473985671997,0.6630221009254456,1.144822542089969,0.5,-0.5,0.5
BraTS2021_00539,B_global_probe,global_probe,0.8639451207210546,0.8998883513212099,0.9147603485839361,0.7873042044520647,0.8553365579190184,1589,217,1806,-28.004150390625,34.519287109375,-205.763671875,0,0.0,0.16589242219924927,0.9990473985671997,0.6630221009254456,1.165523833828047,0.5,-0.5,0.5
BraTS2021_00539,C_global_output,global_output,0.8355134984693602,0.8593552020273619,0.8669515669516618,0.7383367139963223,0.8136005931391148,2086,139,2225,-463.102294921875,-353.299072265625,-1615.2109375,0,0.0,0.9489872455596924,0.9990473985671997,0.6630221009254456,1.1489270830061287,0.5,-0.5,0.5
BraTS2021_00539,D_logit_bias,logit_bias,0.8743507133934681,0.9080990629183708,0.9140481221457882,0.7866556836905729,0.8583515064099432,1249,331,1580,-32.366943359375,-40.03466796875,240.6904296875,0,0.0,0.25,0.9990473985671997,0.6630221009254456,1.1394807090982795,0.5,-0.5,0.5
BraTS2021_00539,F_proposed,proposed,0.8530412300994332,0.8933296958123403,0.9108437029947279,0.7823091760818651,0.8487313697253421,1760,200,1960,-46.468505859375,-32.727783203125,-417.30078125,28402,0.1288781762123108,0.09086573868989944,0.9990473985671997,0.6630221009254456,1.0501403340604156,0.5,-0.5,0.5
BraTS2021_00539,E_random_00,random_gated,0.8710320095631087,0.9058961867966048,0.9161623716598108,0.7875548245616947,0.858249735261538,1400,271,1671,-0.793212890625,10.162353515625,57.8505859375,28402,0.1288781762123108,0.025486566126346588,0.9990473985671997,0.6630221009254456,2.20677320798859,0.5,-0.5,0.5
BraTS2021_00539,E_random_01,random_gated,0.8709099356209791,0.9053509007798113,0.914674838270402,0.786331823796094,0.8573055325624916,1391,277,1668,-11.627685546875,-3.989013671875,49.91015625,28402,0.1288781762123108,0.016394123435020447,0.9990473985671997,0.6630221009254456,2.259730292018503,0.5,-0.5,0.5
BraTS2021_00539,E_random_02,random_gated,0.8694957031511096,0.9042248779667045,0.9154757043691878,0.7883851527190955,0.8577855200797977,1447,256,1703,-1.454833984375,-3.21484375,-12.201171875,28402,0.1288781762123108,0.007309529930353165,0.9990473985671997,0.6630221009254456,2.2175323329865932,0.5,-0.5,0.5
BraTS2021_00539,E_random_03,random_gated,0.8627714650710262,0.8998307952623013,0.9142195271513837,0.7862239297478235,0.8544049739900778,1585,228,1813,-16.740966796875,-10.257568359375,-185.2802734375,28402,0.1288781762123108,0.03620653599500656,0.9990473985671997,0.6630221009254456,2.213171625044197,0.5,-0.5,0.5
BraTS2021_00539,E_random_04,random_gated,0.8677001202727064,0.9030779085055783,0.9155609988433588,0.7889405967700671,0.8574005719620441,1492,244,1736,4.030517578125,-4.075927734375,-54.08984375,28402,0.1288781762123108,0.01744239218533039,0.9990473985671997,0.6630221009254456,2.2092750419396907,0.5,-0.5,0.5
BraTS2021_01180,A_baseline,baseline,0.8194880578552577,0.9200055455427977,0.7919326014809906,0.8699088145898634,0.8271098246420373,2348,723,3071,0.0,0.0,0.0,0,0.0,0.0,0.9990473985671997,0.6630221009254456,1.1409658750053495,0.5,-0.5,0.5
BraTS2021_01180,B_global_probe,global_probe,0.8118198965034522,0.917088850843815,0.7875125881170852,0.8700650431101647,0.8231325092435674,2689,601,3290,25.7373046875,78.88623046875,-277.7685546875,0,0.0,0.16589242219924927,0.9990473985671997,0.6630221009254456,1.2197569170966744,0.5,-0.5,0.5
BraTS2021_01180,C_global_output,global_output,0.7899504529303889,0.8908116718558067,0.7954456223010137,0.8648318042815523,0.8167426265043183,3385,406,3791,-107.325439453125,-235.3465576171875,-1677.580078125,0,0.0,0.9489872455596924,0.9990473985671997,0.6630221009254456,1.1442662910558283,0.5,-0.5,0.5
BraTS2021_01180,D_logit_bias,logit_bias,0.8261701432638825,0.9216608853934397,0.7957856399586423,0.8678724708769653,0.8299427513664966,1937,894,2831,-69.089599609375,-100.2486572265625,351.7783203125,0,0.0,0.25,0.9990473985671997,0.6630221009254456,1.141359917121008,0.5,-0.5,0.5
BraTS2021_01180,F_proposed,proposed,0.8108160684759212,0.9121581083465988,0.7937733178955438,0.8692073170733701,0.8245989011482783,2804,543,3347,-32.705322265625,-66.4178466796875,-601.203125,26380,0.13542725145816803,0.09640708565711975,0.9990473985671997,0.6630221009254456,1.03934616711922,0.5,-0.5,0.5
BraTS2021_01180,E_random_00,random_gated,0.8193205541849405,0.9203857987347737,0.7904725512676214,0.8697504564822433,0.8265145206449351,2290,759,3049,-8.4052734375,28.0711669921875,84.884765625,26380,0.13542725145816803,0.027040833607316017,0.9990473985671997,0.6630221009254456,2.2038397919386625,0.5,-0.5,0.5
