case_id,alpha,perturbation_rms,edema_dice,wt_dice,tc_dice,et_dice,mean_fg_dice,hard_edema_voxels,soft_edema,soft_enhancing,soft_necrosis,soft_wt
BraTS2021_01180,-8,1.4142135381698608,0.719054788243857,0.7964785651794083,0.8106941215546153,0.8016750418763791,0.7771413172249505,18871,45341.2734375,2534.37451171875,148.27806091308594,48023.92578125
BraTS2021_01180,-6,1.0606601238250732,0.809443507588606,0.8803550514701719,0.828139754485634,0.8279797815101452,0.8218543478614616,14409,21120.083984375,2659.021240234375,344.2247314453125,24123.330078125
BraTS2021_01180,-4,0.7071067690849304,0.8296786072983638,0.9085777316377146,0.8175519630487622,0.8536121673006122,0.8336142458825794,12213,13857.123046875,2787.58544921875,642.162109375,17286.87109375
BraTS2021_01180,-3,0.5303300619125366,0.8325658180555077,0.9168293893761652,0.8092260664168275,0.8608545938333685,0.834215492768568,11335,12194.7578125,2852.04638671875,804.9226684570312,15851.7255859375
BraTS2021_01180,-2,0.3535533845424652,0.8315161304797274,0.920472520445623,0.8031241583627752,0.8643542892538489,0.8329981926987838,10604,11030.640625,2914.854248046875,965.8938598632812,14911.388671875
BraTS2021_01180,-1,0.1767766922712326,0.8274618585298995,0.9217421007686006,0.7984303466320491,0.8687796662075199,0.8315572904564895,9947,10115.62890625,2974.672607421875,1123.360107421875,14213.6611328125
BraTS2021_01180,0,0.0,0.8194880578552577,0.9200055455427977,0.7919326014809906,0.8699088145898634,0.8271098246420373,9335,9315.7724609375,3030.214599609375,1279.5855712890625,13625.572265625
BraTS2021_01180,1,0.1767766922712326,0.8027137308884505,0.9131828267531035,0.7839046199704621,0.8701279157263053,0.8189154221950726,8658,8553.03125,3080.06982421875,1438.63330078125,13071.734375
BraTS2021_01180,2,0.3535533845424652,0.7796954314721931,0.9020969011665705,0.774921173902771,0.8678117998508322,0.8074761350752655,8017,7775.40966796875,3122.496337890625,1605.2381591796875,12503.14453125
BraTS2021_01180,3,0.5303300619125366,0.7499868607769223,0.8885575034553399,0.7646155663165647,0.8638720189603557,0.7928248153512808,7344,6941.24560546875,3155.27783203125,1784.2142333984375,11880.7373046875
BraTS2021_01180,4,0.7071067690849304,0.7074130767550255,0.8680071227185532,0.750692520775911,0.8587437334121811,0.7722831103143726,6609,6017.560546875,3175.79736328125,1978.503173828125,11171.8623046875
BraTS2021_01180,6,1.0606601238250732,0.5392908331778281,0.7822197372100395,0.7237544483988837,0.8456890198970587,0.7029114338245902,4364,3897.6005859375,3169.73486328125,2397.53076171875,9464.865234375
BraTS2021_01180,8,1.4142135381698608,0.2169667378706004,0.6292650033717109,0.7030754076833718,0.8356164383564092,0.5852195279701271,1425,1841.98388671875,3093.033935546875,2768.91943359375,7703.93701171875
BraTS2021_01180,12,2.1213202476501465,8.559445347934126e-13,0.5151205259315729,0.6970176231363566,0.8251988149074923,0.5074054793482349,0,141.6374969482422,2810.57470703125,3026.9970703125,5979.20947265625
BraTS2021_01180,16,2.8284270763397217,8.559445347934126e-13,0.4906444906447428,0.6890480103302159,0.8044929187696492,0.49784697636690706,0,6.282130241394043,2493.429443359375,2989.53271484375,5489.244140625
BraTS2021_00165,-16,2.8284270763397217,0.018463106342637287,0.025255306473411294,0.6188188753896049,0.7839453458591633,0.47374244253046854,699959,674946.0,999.9757690429688,217.59669494628906,676163.625
BraTS2021_00165,-12,2.1213202476501465,0.031307399711729154,0.04278386180900812,0.8419083255382556,0.8639143730892053,0.5790433661130633,408323,380838.9375,1502.1982421875,595.738525390625,382936.90625
BraTS2021_00165,-8,1.4142135381698608,0.8373967882453434,0.8899940322260345,0.932938438756224,0.8856430352693778,0.8853260874236484,8850,43926.109375,1619.84814453125,856.2761840820312,46402.234375
BraTS2021_00165,-6,1.0606601238250732,0.8845276760418185,0.9238090311902324,0.9481694775813488,0.8833333333337384,0.905343495652302,7940,15589.3740234375,1607.147216796875,924.455078125,18120.978515625
BraTS2021_00165,-4,0.7071067690849304,0.9180280468411753,0.9488763446586703,0.9498381877023668,0.8783645655881487,0.9154102667105636,7303,8960.6708984375,1604.361328125,962.5682983398438,11527.6005859375
